OWNER,CONSTRAINT_NAME,TABLE_NAME,COLUMN_NAME,POSITION
SYSTEM,TDLT_LOTE_FK,ALM_TMPDETALOTE,LOTE_NUMELOTE,2
SYSTEM,TDLT_LOTE_FK,ALM_TMPDETALOTE,LOTE_ALCANCE,3
SYSTEM,TDLT_PK,ALM_TMPDETALOTE,TDLT_ID,1
SYSTEM,DXML_CXML_FK,ALM_TMPDETAMOVI,CMPR_SERIE,1
SYSTEM,DXML_CXML_FK,ALM_TMPDETAMOVI,CMPR_NUMERO,2
SYSTEM,DXML_CXML_FK,ALM_TMPDETAMOVI,CMPR_CEDURUC,3
SYSTEM,DXML_CXML_FK,ALM_TMPDETAMOVI,CMPR_ALCANCE,4
SYSTEM,DXML_CXML_FK,ALM_TMPDETAMOVI,CMPR_COMPANIA,5
SYSTEM,DXML_PK,ALM_TMPDETAMOVI,DXML_ID,1
SYSTEM,SYS_C009058,ALM_TMPDETAMOVI,DXML_ID,
SYSTEM,SYS_C009059,ALM_TMPDETAMOVI,CANTIDAD,
SYSTEM,SYS_C009060,ALM_TMPDETAMOVI,PRECUNIT,
SYSTEM,SYS_C009061,ALM_TMPDETAMOVI,VALOR,
SYSTEM,SYS_C009062,ALM_TMPDETAMOVI,COSTUNIT,
SYSTEM,SYS_C009063,ALM_TMPDETAMOVI,TASAIVA,
SYSTEM,SYS_C009064,ALM_TMPDETAMOVI,USUACREA,
SYSTEM,SYS_C009065,ALM_TMPDETAMOVI,FECHCREA,
SYSTEM,SYS_C009165,AUX_INVENTARIO,GRAR_CODIGRUP,
SYSTEM,SYS_C009166,AUX_INVENTARIO,NOMBRE,
SYSTEM,SYS_C009173,AUX_VENTAS,SERIE,
SYSTEM,SYS_C009174,AUX_VENTAS,NUMERO,
SYSTEM,SYS_C009175,BAK_ALM_DETALOTEJUL2023,DTLT_ID,
SYSTEM,SYS_C009176,BAK_ALM_DETALOTEJUL2023,LOTE_COMPANIA,
SYSTEM,SYS_C009177,BAK_ALM_DETALOTEJUL2023,LOTE_NUMELOTE,
SYSTEM,SYS_C009178,BAK_ALM_DETALOTEJUL2023,DTMV_DTMV_ID,
SYSTEM,SYS_C009179,BAK_ALM_DETALOTEJUL2023,FECHCREA,
SYSTEM,SYS_C009180,BAK_ALM_DETALOTEJUL2023,USUACREA,
SYSTEM,SYS_C009181,BAK_ALM_DETALOTEJUL2023,LOTE_ALCANCE,
SYSTEM,SYS_C009182,BAK_ALM_DETALOTE_2182023_951AM,DTLT_ID,
SYSTEM,SYS_C009183,BAK_ALM_DETALOTE_2182023_951AM,LOTE_COMPANIA,
SYSTEM,SYS_C009184,BAK_ALM_DETALOTE_2182023_951AM,LOTE_NUMELOTE,
SYSTEM,SYS_C009185,BAK_ALM_DETALOTE_2182023_951AM,DTMV_DTMV_ID,
SYSTEM,SYS_C009186,BAK_ALM_DETALOTE_2182023_951AM,FECHCREA,
SYSTEM,SYS_C009187,BAK_ALM_DETALOTE_2182023_951AM,USUACREA,
SYSTEM,SYS_C009188,BAK_ALM_DETALOTE_2182023_951AM,LOTE_ALCANCE,
SYSTEM,SYS_C009189,BAK_ALM_DETAMOVI_16112022,ENTRSALI,
SYSTEM,SYS_C009190,BAK_ALM_DETAMOVI_16112022,DTMV_ID,
SYSTEM,SYS_C009191,BAK_ALM_DETAMOVI_16112022,UMED_UNIDMEDI,
SYSTEM,SYS_C009192,BAK_ALM_DETAMOVI_16112022,VALOR,
SYSTEM,SYS_C009193,BAK_ALM_DETAMOVI_16112022,CANTIDAD,
SYSTEM,SYS_C009194,BAK_ALM_DETAMOVI_16112022,PRECUNIT,
SYSTEM,SYS_C009195,BAK_ALM_DETAMOVI_16112022,COSTUNIT,
SYSTEM,SYS_C009196,BAK_ALM_DETAMOVI_16112022,USUACREA,
SYSTEM,SYS_C009197,BAK_ALM_DETAMOVI_16112022,FECHCREA,
SYSTEM,SYS_C009198,BAK_ALM_DETAMOVI_16112022,SECC_CODIBODE,
SYSTEM,SYS_C009199,BAK_ALM_DETAMOVI_16112022,SECC_COMPANIA,
SYSTEM,SYS_C009200,BAK_ALM_DETAMOVI_16112022,SECC_CODISECC,
SYSTEM,SYS_C009201,BAK_ALM_DETAMOVI_16112022,SECC_OFICINA,
SYSTEM,SYS_C009202,BAK_ALM_DETAMOVI_16112022,ARTL_CODIGRUP,
SYSTEM,SYS_C009203,BAK_ALM_DETAMOVI_16112022,ARTL_CLASE,
SYSTEM,SYS_C009204,BAK_ALM_DETAMOVI_16112022,ARTL_COMPANIA,
SYSTEM,SYS_C009205,BAK_ALM_DETAMOVI_16112022,ARTL_ARTICULO,
SYSTEM,SYS_C009206,BAK_ALM_DETAMOVI_16112022,PROMOCION,
SYSTEM,SYS_C009207,BAK_ALM_DETAMOVI_16112022,PRORATEO,
SYSTEM,SYS_C009208,BAK_ALM_DETAMOVI_16112022,VALDESC,
SYSTEM,SYS_C009209,BAK_ALM_DETAMOVI_2182023_951AM,ENTRSALI,
SYSTEM,SYS_C009210,BAK_ALM_DETAMOVI_2182023_951AM,DTMV_ID,
SYSTEM,SYS_C009211,BAK_ALM_DETAMOVI_2182023_951AM,UMED_UNIDMEDI,
SYSTEM,SYS_C009212,BAK_ALM_DETAMOVI_2182023_951AM,VALOR,
SYSTEM,SYS_C009213,BAK_ALM_DETAMOVI_2182023_951AM,CANTIDAD,
SYSTEM,SYS_C009214,BAK_ALM_DETAMOVI_2182023_951AM,PRECUNIT,
SYSTEM,SYS_C009215,BAK_ALM_DETAMOVI_2182023_951AM,COSTUNIT,
SYSTEM,SYS_C009216,BAK_ALM_DETAMOVI_2182023_951AM,USUACREA,
SYSTEM,SYS_C009217,BAK_ALM_DETAMOVI_2182023_951AM,FECHCREA,
SYSTEM,SYS_C009218,BAK_ALM_DETAMOVI_2182023_951AM,SECC_CODIBODE,
SYSTEM,SYS_C009219,BAK_ALM_DETAMOVI_2182023_951AM,SECC_COMPANIA,
SYSTEM,SYS_C009220,BAK_ALM_DETAMOVI_2182023_951AM,SECC_CODISECC,
