OWNER,TABLE_NAME,COLUMN_NAME,COMMENTS
SYSTEM,ALM_DETAMOVI_BK,VNTA_NUMERO,
SYSTEM,ALM_DETAMOVI_BK,VNTA_OFICINA,
SYSTEM,ALM_DETAMOVI_BK,VNTA_SERIE,
SYSTEM,ALM_DETAMOVI_BK,VNTA_TIPOCOMP,
SYSTEM,ALM_DETAPLAN,ARTL_ARTICULO,
SYSTEM,ALM_DETAPLAN,ARTL_CLASE,
SYSTEM,ALM_DETAPLAN,ARTL_CODIGRUP,
SYSTEM,ALM_DETAPLAN,ARTL_COMPANIA,
SYSTEM,ALM_DETAPLAN,CANTIDAD,
SYSTEM,ALM_DETAPLAN,DTPL_ID,
SYSTEM,ALM_DETAPLAN,FECHACTU,
SYSTEM,ALM_DETAPLAN,FECHCREA,
SYSTEM,ALM_DETAPLAN,PLIM_CODIGO,
SYSTEM,ALM_DETAPLAN,USUACREA,
SYSTEM,ALM_DETAPLAN,USUACTUA,
SYSTEM,ALM_DETAPROY,ARTL_ARTICULO,
SYSTEM,ALM_DETAPROY,ARTL_CLASE,
SYSTEM,ALM_DETAPROY,ARTL_CODIGRUP,
SYSTEM,ALM_DETAPROY,ARTL_COMPANIA,
SYSTEM,ALM_DETAPROY,CANTIDAD,
SYSTEM,ALM_DETAPROY,DESCRIPC,
SYSTEM,ALM_DETAPROY,DPRO_ID,
SYSTEM,ALM_DETAPROY,FECHACTU,
SYSTEM,ALM_DETAPROY,FECHCREA,
SYSTEM,ALM_DETAPROY,NUMBER1,
SYSTEM,ALM_DETAPROY,NUMBER2,
SYSTEM,ALM_DETAPROY,NUMBER3,
SYSTEM,ALM_DETAPROY,NUMBER4,
SYSTEM,ALM_DETAPROY,NUMBER5,
SYSTEM,ALM_DETAPROY,NUMEPARA,
SYSTEM,ALM_DETAPROY,PRPD_PRPD_ID,
SYSTEM,ALM_DETAPROY,RCTA_RCTA_ID,
SYSTEM,ALM_DETAPROY,REFER,
SYSTEM,ALM_DETAPROY,USUACREA,
SYSTEM,ALM_DETAPROY,USUACTUA,
SYSTEM,ALM_DETAPROY,VCHAR1,
SYSTEM,ALM_DETAPROY,VCHAR2,
SYSTEM,ALM_DETAPROY,VCHAR3,
SYSTEM,ALM_DETAPROY,VCHAR4,
SYSTEM,ALM_DETAPROY,VCHAR5,
SYSTEM,ALM_DETAREQU,APROBAC,
SYSTEM,ALM_DETAREQU,ARTL_ARTICULO,
SYSTEM,ALM_DETAREQU,ARTL_CLASE,
SYSTEM,ALM_DETAREQU,ARTL_CODIGRUP,
SYSTEM,ALM_DETAREQU,ARTL_COMPANIA,
SYSTEM,ALM_DETAREQU,CANTAPRO,
SYSTEM,ALM_DETAREQU,CANTCONF,
SYSTEM,ALM_DETAREQU,CANTFACT,
SYSTEM,ALM_DETAREQU,CANTSOLI,
SYSTEM,ALM_DETAREQU,CANTSUGE,
SYSTEM,ALM_DETAREQU,COSTUNIT,
SYSTEM,ALM_DETAREQU,DREQ_ID,
SYSTEM,ALM_DETAREQU,FECHACTU,
SYSTEM,ALM_DETAREQU,FECHCREA,
SYSTEM,ALM_DETAREQU,FULTCOMP,
SYSTEM,ALM_DETAREQU,LINECOMP,
