CHILD_OWNER,CHILD_TABLE,FK_NAME,POSITION,CHILD_COLUMN,PARENT_OWNER,PARENT_TABLE,PARENT_COLUMN
SYSTEM,ALM_ENTRASALI,ENSA_VNTA_FK,3,VNTA_SERIE,SYSTEM,VEN_VENTAS,SERIE
SYSTEM,ALM_ENTRASALI,ENSA_VNTA_FK,4,VNTA_NUMERO,SYSTEM,VEN_VENTAS,NUMERO
SYSTEM,ALM_ENTRASALI,ENSA_VNTA_FK,5,VNTA_TIPOCOMP,SYSTEM,VEN_VENTAS,TPCM_TIPOCOMP
SYSTEM,ALM_ESPECTALL,SPTL_DPRF_FK,1,DPRF_DPRF_ID,SYSTEM,VEN_DETAPROF,DPRF_ID
SYSTEM,ALM_ESPECTALL,SPTL_DTMV_FK,1,DTMV_DTMV_ID,SYSTEM,ALM_DETAMOVI,DTMV_ID
SYSTEM,ALM_ESPECTALL,SPTL_DTNP_FK,1,DTNP_DTNP_ID,SYSTEM,IMP_DENOTAPEDI,DTNP_ID
SYSTEM,ALM_GUIAREMI,GURM_DTFL_FK,1,DTFL_DTFL_ID,SYSTEM,VEN_DETAFLET,DTFL_ID
SYSTEM,ALM_PROYPROD,PRPD_BDGA_FK,1,BDGA_CODIBODE,SYSTEM,ALM_BODEGAS,CODIBODE
SYSTEM,ALM_PROYPROD,PRPD_BDGA_FK,2,BDGA_OFCN_COMPANIA,SYSTEM,ALM_BODEGAS,OFCN_COMPANIA
SYSTEM,ALM_PROYPROD,PRPD_BDGA_FK,3,BDGA_OFCN_OFICINA,SYSTEM,ALM_BODEGAS,OFCN_OFICINA
SYSTEM,ALM_TMPDETALOTE,TDLT_DPR_FK,1,DPR_DPR_ID,SYSTEM,VEN_DETAPROD,DPR_ID
SYSTEM,ALM_TMPDETALOTE,TDLT_DXML_FK,1,DXML_DXML_ID,SYSTEM,ALM_TMPDETAMOVI,DXML_ID
SYSTEM,ALM_TMPDETALOTE,TDLT_LOTE_FK,1,LOTE_COMPANIA,SYSTEM,ALM_LOTE,CMPN_COMPANIA
SYSTEM,ALM_TMPDETALOTE,TDLT_LOTE_FK,2,LOTE_NUMELOTE,SYSTEM,ALM_LOTE,NUMELOTE
SYSTEM,ALM_TMPDETALOTE,TDLT_LOTE_FK,3,LOTE_ALCANCE,SYSTEM,ALM_LOTE,ALCANCE
SYSTEM,ALM_TMPDETAMOVI,DXML_CXML_FK,1,CMPR_SERIE,SYSTEM,COM_TMPCOMPRAS,SERIE
SYSTEM,ALM_TMPDETAMOVI,DXML_CXML_FK,2,CMPR_NUMERO,SYSTEM,COM_TMPCOMPRAS,NUMERO
SYSTEM,ALM_TMPDETAMOVI,DXML_CXML_FK,3,CMPR_CEDURUC,SYSTEM,COM_TMPCOMPRAS,PROV_CEDURUC
SYSTEM,ALM_TMPDETAMOVI,DXML_CXML_FK,4,CMPR_ALCANCE,SYSTEM,COM_TMPCOMPRAS,ALCANCE
SYSTEM,ALM_TMPDETAMOVI,DXML_CXML_FK,5,CMPR_COMPANIA,SYSTEM,COM_TMPCOMPRAS,PROV_COMPANIA
SYSTEM,ALM_TRANPROC,TRPR_DTMV_FK,1,DTMV_DTMV_ID,SYSTEM,ALM_DETAMOVI,DTMV_ID
SYSTEM,CLI_DETALINE,DTLN_LNCR_FK,1,LNCR_COMPANIA,SYSTEM,CLI_LINECRED,CLTE_COMPANIA
SYSTEM,CLI_DETALINE,DTLN_LNCR_FK,2,LNCR_IDCLIENTE,SYSTEM,CLI_LINECRED,CLTE_IDCLIENTE
SYSTEM,CLI_INGEGRMENS,IEME_DEIE_FK,1,DEIE_TIPOINEG,SYSTEM,CLI_DETAINGEGR,TIPOINEG
SYSTEM,CLI_PROCLIRELA,PCRE_PRCL_FK,1,PRCL_PRCL_ID,SYSTEM,CLI_PROPICLIEN,PRCL_ID
SYSTEM,CLI_SOLICITU,SLTD_ACTI_FK,1,ACTI_ACTI_ID,SYSTEM,CLI_ACTIVCLIEN,ACTI_ID
SYSTEM,CNT_DETASIENTO,DAST_ASTO_FK,1,ASTO_COMPANIA,SYSTEM,CNT_ASIENTO,CMPN_COMPANIA
SYSTEM,CNT_DETASIENTO,DAST_ASTO_FK,2,ASTO_NUMEDIAR,SYSTEM,CNT_ASIENTO,NUMEDIAR
SYSTEM,CNT_DETASIENTO,DAST_CCST_FK,1,CCST_COMPANIA,SYSTEM,GEN_CENTCOST,OFCN_COMPANIA
SYSTEM,CNT_DETASIENTO,DAST_CCST_FK,2,CCST_OFICINA,SYSTEM,GEN_CENTCOST,OFCN_OFICINA
SYSTEM,CNT_DETASIENTO,DAST_CCST_FK,3,CCST_CODIGO,SYSTEM,GEN_CENTCOST,CODIGO
SYSTEM,CNT_DETASIENTO,DAST_CTAS_FK,1,CTAS_COMPANIA,SYSTEM,CNT_CUENTAS,CTLG_COMPANIA
SYSTEM,CNT_DETASIENTO,DAST_CTAS_FK,2,CTAS_CATALOGO,SYSTEM,CNT_CUENTAS,CTLG_CATALOGO
SYSTEM,CNT_DETASIENTO,DAST_CTAS_FK,3,CTAS_CODIGO,SYSTEM,CNT_CUENTAS,CODIGO
SYSTEM,CNT_DETASIENTO,DAST_DAST_FK,1,DAST_DAST_ID,SYSTEM,CNT_DETASIENTO,DAST_ID
SYSTEM,CNT_DETIPIMP,DTIP_TPIM_FK,1,TPIM_TIPOIMPU,SYSTEM,CNT_TIPOIMPU,TIPOIMPU
SYSTEM,CNT_INTECONT,INCN_PRDT_FK,1,PRDT_PRODUCTO,SYSTEM,GEN_PRODUCTOS,PRODUCTO
