OWNER,CONSTRAINT_NAME,CONSTRAINT_TYPE,TABLE_NAME,STATUS,VALIDATED,DEFERRABLE,DEFERRED,R_OWNER,R_CONSTRAINT_NAME,DELETE_RULE,BAD,INVALID,GENERATED,SEARCH_CONDITION_VC
SYSTEM,SYS_C003287,C,LOGMNR_CCOL$,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""INTCOL#"" IS NOT NULL"
SYSTEM,LOGMNRC_CONCOL_GG_PK,P,LOGMNRC_CONCOL_GG,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,USER NAME,
SYSTEM,SYS_C003195,C,LOGMNRC_CONCOL_GG,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""LOGMNR_UID"" IS NOT NULL"
SYSTEM,SYS_C003196,C,LOGMNRC_CONCOL_GG,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""CON#"" IS NOT NULL"
SYSTEM,SYS_C003197,C,LOGMNRC_CONCOL_GG,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""COMMIT_SCN"" IS NOT NULL"
SYSTEM,SYS_C003198,C,LOGMNRC_CONCOL_GG,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""INTCOL#"" IS NOT NULL"
SYSTEM,LOGMNRC_CON_GG_PK,P,LOGMNRC_CON_GG,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,USER NAME,
SYSTEM,SYS_C003187,C,LOGMNRC_CON_GG,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""LOGMNR_UID"" IS NOT NULL"
SYSTEM,SYS_C003188,C,LOGMNRC_CON_GG,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""CON#"" IS NOT NULL"
SYSTEM,SYS_C003189,C,LOGMNRC_CON_GG,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""NAME"" IS NOT NULL"
SYSTEM,SYS_C003190,C,LOGMNRC_CON_GG,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""COMMIT_SCN"" IS NOT NULL"
SYSTEM,SYS_C003191,C,LOGMNRC_CON_GG,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""BASEOBJ#"" IS NOT NULL"
SYSTEM,SYS_C003192,C,LOGMNRC_CON_GG,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""BASEOBJV#"" IS NOT NULL"
SYSTEM,SYS_C003193,C,LOGMNRC_CON_GG,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""FLAGS"" IS NOT NULL"
SYSTEM,LOGMNRC_DBNAME_UID_MAP_PK,P,LOGMNRC_DBNAME_UID_MAP,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,USER NAME,
SYSTEM,SYS_C001749,C,LOGMNRC_DBNAME_UID_MAP,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""GLOBAL_NAME"" IS NOT NULL"
