CHILD_OWNER,CHILD_TABLE,FK_NAME,POSITION,CHILD_COLUMN,PARENT_OWNER,PARENT_TABLE,PARENT_COLUMN,DELETE_RULE,STATUS
SYSTEM,CNT_SECUTRAN,SCTR_TPID_FK,1,TPID_TIPOIDEN,SYSTEM,GEN_TIPOIDEN,TIPOIDEN,NO ACTION,ENABLED
SYSTEM,CNT_SECUTRAN,SCTR_TPTR_FK,1,TPTR_TIPOTRAN,SYSTEM,CNT_TPTRANSRI,TIPOTRAN,NO ACTION,ENABLED
SYSTEM,CNT_SUSTCOMP,STCM_STCM_FK,1,STCM_SUSTENTO,SYSTEM,CNT_SUSTCOMP,SUSTENTO,NO ACTION,ENABLED
SYSTEM,CNT_TIPOCAMB,TICA_MONE_FK,1,MONE_MONEDA,SYSTEM,GEN_MONEDA,MONEDA,NO ACTION,ENABLED
SYSTEM,CNT_TIPORETE,TRET_CTAS_FK,1,CTAS_COMPANIA,SYSTEM,CNT_CUENTAS,CTLG_COMPANIA,NO ACTION,ENABLED
SYSTEM,CNT_TIPORETE,TRET_CTAS_FK,2,CTAS_CATALOGO,SYSTEM,CNT_CUENTAS,CTLG_CATALOGO,NO ACTION,ENABLED
SYSTEM,CNT_TIPORETE,TRET_CTAS_FK,3,CTAS_CODIGO,SYSTEM,CNT_CUENTAS,CODIGO,NO ACTION,ENABLED
SYSTEM,CNT_TIPORETE,TRET_CTAS_VNTS_FK,1,VNTS_COMPANIA,SYSTEM,CNT_CUENTAS,CTLG_COMPANIA,NO ACTION,ENABLED
SYSTEM,CNT_TIPORETE,TRET_CTAS_VNTS_FK,2,VNTS_CATALOGO,SYSTEM,CNT_CUENTAS,CTLG_CATALOGO,NO ACTION,ENABLED
SYSTEM,CNT_TIPORETE,TRET_CTAS_VNTS_FK,3,VNTS_CODIGO,SYSTEM,CNT_CUENTAS,CODIGO,NO ACTION,ENABLED
SYSTEM,CNT_TIPORETE,TRET_TRET_FK,1,TRET_TIPORETE,SYSTEM,CNT_TIPORETE,TIPORETE,NO ACTION,ENABLED
SYSTEM,COB_ALCACOBR,ACOB_CHQE_FK,1,CHQE_CHQE_ID,SYSTEM,CAJ_CHEQUES,CHQE_ID,NO ACTION,ENABLED
SYSTEM,COB_ALCACOBR,ACOB_DTCB_FK,1,DTCB_DTCB_ID,SYSTEM,COB_DETACOBRO,DTCB_ID,NO ACTION,ENABLED
SYSTEM,COB_ANTICIPO,ANTC_ASTO_FK,1,ASTO_COMPANIA,SYSTEM,CNT_ASIENTO,CMPN_COMPANIA,NO ACTION,ENABLED
SYSTEM,COB_ANTICIPO,ANTC_ASTO_FK,2,ASTO_NUMEDIAR,SYSTEM,CNT_ASIENTO,NUMEDIAR,NO ACTION,ENABLED
SYSTEM,COB_ANTICIPO,ANTC_EGEN_FK,1,EGEN_ESTADO,SYSTEM,GEN_ESTADOS,ESTADO,NO ACTION,ENABLED
SYSTEM,COB_ANTICIPO,ANTC_PLPP_FK,1,PLPP_ID,SYSTEM,VEN_PLANPAGO,PLPP_ID,NO ACTION,ENABLED
SYSTEM,COB_ANTICIPO,ANTC_RCCB_FK,1,RCCB_NUMERO,SYSTEM,COB_RECICOBR,NUMERO,NO ACTION,ENABLED
SYSTEM,COB_CRUCEANT,CRAN_ANTC_FK,1,ANTC_ANTC_ID,SYSTEM,COB_ANTICIPO,ANTC_ID,NO ACTION,ENABLED
SYSTEM,COB_CRUCEANT,CRAN_ASTO_FK,1,ASTO_COMPANIA,SYSTEM,CNT_ASIENTO,CMPN_COMPANIA,NO ACTION,ENABLED
SYSTEM,COB_CRUCEANT,CRAN_ASTO_FK,2,ASTO_NUMEDIAR,SYSTEM,CNT_ASIENTO,NUMEDIAR,NO ACTION,ENABLED
SYSTEM,COB_CRUCEANT,CRAN_EGEN_FK,1,EGEN_ESTADO,SYSTEM,GEN_ESTADOS,ESTADO,NO ACTION,ENABLED
SYSTEM,COB_DETACHEQ,DCHE_CHQE_FK,1,CHQE_CHQE_ID,SYSTEM,CAJ_CHEQUES,CHQE_ID,NO ACTION,ENABLED
SYSTEM,COB_DETACHEQ,DCHE_EGEN_FK,1,EGEN_ESTADO,SYSTEM,GEN_ESTADOS,ESTADO,NO ACTION,ENABLED
SYSTEM,COB_DETACHEQ,DCHE_PLCB_FK,1,PLCB_PLCB_ID,SYSTEM,VEN_PLANCOBR,PLCB_ID,NO ACTION,ENABLED
SYSTEM,COB_DETACOBRO,DTCB_ASTO_FK,1,ASTO_COMPANIA,SYSTEM,CNT_ASIENTO,CMPN_COMPANIA,NO ACTION,ENABLED
SYSTEM,COB_DETACOBRO,DTCB_ASTO_FK,2,ASTO_NUMEDIAR,SYSTEM,CNT_ASIENTO,NUMEDIAR,NO ACTION,ENABLED
SYSTEM,COB_DETACOBRO,DTCB_EGEN_FK,1,EGEN_ESTADO,SYSTEM,GEN_ESTADOS,ESTADO,NO ACTION,ENABLED
SYSTEM,COB_DETACOBRO,DTCB_NCCL_FK,1,NCCL_COMPANIA,SYSTEM,VEN_NOTACRED,OFCN_COMPANIA,NO ACTION,ENABLED
SYSTEM,COB_DETACOBRO,DTCB_NCCL_FK,2,NCCL_OFICINA,SYSTEM,VEN_NOTACRED,OFCN_OFICINA,NO ACTION,ENABLED
SYSTEM,COB_DETACOBRO,DTCB_NCCL_FK,3,NCCL_SERIE,SYSTEM,VEN_NOTACRED,SERIE,NO ACTION,ENABLED
SYSTEM,COB_DETACOBRO,DTCB_NCCL_FK,4,NCCL_NUMERO,SYSTEM,VEN_NOTACRED,NUMERO,NO ACTION,ENABLED
SYSTEM,COB_DETACOBRO,DTCB_PLCB_FK,1,PLCB_PLCB_ID,SYSTEM,VEN_PLANCOBR,PLCB_ID,NO ACTION,ENABLED
SYSTEM,COB_DETACOBRO,DTCB_PTBN_FK,1,PTBN_NUMEOPER,SYSTEM,PRT_TRANSBANCA,NUMEOPER,NO ACTION,ENABLED
SYSTEM,COB_DETACOBRO,DTCB_RCCB_FK,1,RCCB_NUMERO,SYSTEM,COB_RECICOBR,NUMERO,NO ACTION,ENABLED
SYSTEM,COB_DETACOBRO,DTCB_VNDR_FK,1,VNDR_COMPANIA,SYSTEM,VEN_VENDCOBR,OFCN_COMPANIA,NO ACTION,ENABLED
SYSTEM,COB_DETACOBRO,DTCB_VNDR_FK,2,VNDR_OFICINA,SYSTEM,VEN_VENDCOBR,OFCN_OFICINA,NO ACTION,ENABLED
SYSTEM,COB_DETACOBRO,DTCB_VNDR_FK,3,VNDR_CODIGO,SYSTEM,VEN_VENDCOBR,CODIGO,NO ACTION,ENABLED
SYSTEM,COB_DETADEBI,DDEB_OTRC_FK,1,OTRC_OTRC_ID,SYSTEM,COB_OTRODEBI,OTRC_ID,NO ACTION,ENABLED
SYSTEM,COB_OTRODEBI,OTRC_ASTO_FK,1,ASTO_COMPANIA,SYSTEM,CNT_ASIENTO,CMPN_COMPANIA,NO ACTION,ENABLED
SYSTEM,COB_OTRODEBI,OTRC_ASTO_FK,2,ASTO_NUMEDIAR,SYSTEM,CNT_ASIENTO,NUMEDIAR,NO ACTION,ENABLED
SYSTEM,COB_OTRODEBI,OTRC_EGEN_FK,1,EGEN_ESTADO,SYSTEM,GEN_ESTADOS,ESTADO,NO ACTION,ENABLED
SYSTEM,COB_OTRODEBI,OTRC_FRPG_FK,1,FRPG_FORMPAGO,SYSTEM,GEN_FORMPAGO,FORMPAGO,NO ACTION,ENABLED
SYSTEM,COB_OTRODEBI,OTRC_PRPG_FK,1,PRPG_CODIPERI,SYSTEM,GEN_PERIPAGO,CODIPERI,NO ACTION,ENABLED
SYSTEM,COB_OTRODEBI,OTRC_SCTR_FK,1,SCTR_SECUTRAN,SYSTEM,CNT_SECUTRAN,SECUTRAN,NO ACTION,ENABLED
SYSTEM,COB_OTRODEBI,OTRC_TBAN_FK,1,TBAN_COMPANIA,SYSTEM,BAN_TRANSBANCA,CBAN_COMPANIA,NO ACTION,ENABLED
SYSTEM,COB_OTRODEBI,OTRC_TBAN_FK,2,TBAN_CATALOGO,SYSTEM,BAN_TRANSBANCA,CBAN_CATALOGO,NO ACTION,ENABLED
SYSTEM,COB_OTRODEBI,OTRC_TBAN_FK,3,TBAN_CODIGO,SYSTEM,BAN_TRANSBANCA,CBAN_CODIGO,NO ACTION,ENABLED
